watt,elapsed_time_s,ambient_temp,initial_temp,surface_temp_mean,surface_temp_min,center_temp,food_category,note
500,10,23.4,-12.8,4.2,,-0.9,beef_croquette_tablemark,
500,20,23.4,-13.0,13.0,,26.8,beef_croquette_tablemark,
500,30,23.4,-14.1,16.9,,61.0,beef_croquette_tablemark,
500,40,23.4,-14.6,69.0,,77.7,beef_croquette_tablemark,
500,50,23.4,-13.9,81.4,,89.0,beef_croquette_tablemark,
500,60,23.4,-13.5,74.8,,91.4,beef_croquette_tablemark,
500,70,23.4,-13.5,78.0,,97.7,beef_croquette_tablemark,
500,80,23.4,-13.1,84.9,,96.0,beef_croquette_tablemark,
600,10,23.4,-14.8,16.7,,6.3,beef_croquette_tablemark,
600,20,23.4,-14.4,21.5,,66.3,beef_croquette_tablemark,
600,30,23.4,-14.4,47.1,,78.4,beef_croquette_tablemark,
600,40,23.4,-14.4,74.2,,84.4,beef_croquette_tablemark,
600,50,23.4,-13.5,82.6,,94.8,beef_croquette_tablemark,
600,60,23.4,-14.6,76.4,,95.6,beef_croquette_tablemark,
600,70,23.4,-14.4,72.0,,93.7,beef_croquette_tablemark,initial値の判読に自信なし
500,40,23.4,-14.6,33.0,,,beef_croquette_tablemark,2回目トライアル(表面温度のみ記録)
500,50,23.4,-12.5,56.0,,89.4,beef_croquette_tablemark,2回目トライアル
500,10,23.2,0.2,,1.9,-3.3,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値(トライアル1)
500,20,23.2,0.1,,6.6,35,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値(トライアル1)
500,30,22.8,-3.6,,14.3,56.1,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値(トライアル1)
500,40,20.3,-2.4,,20.0,74.4,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値(トライアル1)。外気温は訂正後の値
500,50,21.3,-1.4,,31.1,81.5,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値(トライアル1)
500,60,21.8,-1.8,,65.9,87.3,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値(トライアル1)
500,70,20.3,-1.5,,82.4,83.5,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値(トライアル1)
500,80,20.5,-1.4,,74.0,84.4,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値(トライアル1)
600,10,22.0,-1.6,,1.2,-1.7,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値
600,20,21.2,-1.2,,1.6,31.9,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値
600,30,21.1,-2.3,,18.1,64.3,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値
600,40,22.0,-0.1,,32.4,79.1,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値
600,50,21.5,-2.5,,58.4,89.1,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値
600,60,21.5,-2.1,,56.2,87.4,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値
600,70,21.5,-3.8,,71.6,87.9,hamburger_nichirei_mini,初期温度は側面計測、表面温度は側面一周の最小値
500,10,19.6,-0.4,7.6,,-1.0,hamburger_nichirei_mini,初期温度・表面温度ともに上面で計測(トライアル2)。表面温度は上面のみのおおよその平均値
500,20,20.2,-2.3,18.7,,30.5,hamburger_nichirei_mini,初期温度・表面温度ともに上面で計測(トライアル2)。表面温度は上面のみのおおよその平均値
500,30,20.8,-3.2,32.4,,61.3,hamburger_nichirei_mini,初期温度・表面温度ともに上面で計測(トライアル2)。表面温度は上面のみのおおよその平均値
500,40,20.5,-2.8,60.6,,77.4,hamburger_nichirei_mini,初期温度・表面温度ともに上面で計測(トライアル2)。表面温度は上面のみのおおよその平均値
500,50,20.3,0.0,54.7,,83.7,hamburger_nichirei_mini,初期温度・表面温度ともに上面で計測(トライアル2)。表面温度は上面のみのおおよその平均値
500,60,20.7,-3.0,74.2,,86.3,hamburger_nichirei_mini,初期温度・表面温度ともに上面で計測(トライアル2)。表面温度は上面のみのおおよその平均値
500,70,21.2,-4.5,82.6,,87.2,hamburger_nichirei_mini,初期温度・表面温度ともに上面で計測(トライアル2)。表面温度は上面のみのおおよその平均値
500,80,20.1,-2.4,88.7,,94.0,hamburger_nichirei_mini,初期温度・表面温度ともに上面で計測(トライアル2)。表面温度は上面のみのおおよその平均値
